SOFIA_name,Coordinates,Property,R37,Lbol,alpha,R,env_mass,env_mass_std,calc_mass,sLsun,sLsun_std,Lbol,inc,ext,s
CepA.3,22h56m14.0s +62d02m17.3s,Isolated,1.42421734776,3.84399216527,1.89389394201,0.291048305668,0.171000003815,0.0745122656226,,17.5,3.61350154877,3.84399216527,18.6717185974,14.0,0.850000023842
IRAS20050.5,20h07m06.6s +27d28m53.1s,Clustered,2.06671207231,5.84492179068,0.536667703819,0.78184027142,0.00999999977648,0.0025973347947,,49.361000061,6.24127626419,5.84492179068,42.5368995667,14.0,1.0
NGC2264.2,06h40m59.1s +09d35m50.5s,Isolated,1.13309696302,6.69337250763,1.72076470851,0.930650959909,0.00999999977648,0.00388544471934,,49.3999977112,13.6115550995,6.69337250763,0.0,5.0,1.0
NGC2264.11,06h41m11.3s +09d29m05.6s,Isolated,1.06928753781,3.31768993065,1.72288006056,0.0436163004488,0.171000003815,0.0984413698316,,26.6000003815,1.97446227074,3.31768993065,18.6717185974,11.0,0.699999988079
NGC2071.4,05h47m04.0s +00d22m10.5s,Isolated,0.96180905853,21.4463041182,1.01401083722,1.31033148948,0.0010000000475,0.00118757586461,,39.8650016785,6.11950731277,21.4463041182,37.8636474609,14.0,0.699999988079
CepC.1,23h05m45.8s +62d30m21.4s,Isolated,0.879396393764,5.45586678832,1.37776564283,1.05868222399,1.94599997997,0.943773984909,,5.59999990463,1.10261380672,5.45586678832,0.0,11.0,0.699999988079
NGC2264.4,06h41m09.9s +09d35m40.5s,Isolated,1.07088621586,2.90051353868,2.15397681636,0.983540988394,2.91899991035,0.514828205109,,32.2999992371,3.82400035858,2.90051353868,18.6717185974,12.0,0.850000023842
S171.1,00h03m59.8s +68d35m05.8s,Isolated,1.03452799702,23.4573112314,0.448879469174,2.55885686974,0.00400000018999,0.0,,201.599990845,35.753326416,23.4573112314,77.8468017578,14.0,0.699999988079
NGC2071.5,05h47m10.7s +00d21m14.0s,Isolated,1.11435624782,14.8503933294,0.31504689431,0.958804525435,0.00200000009499,0.000753928383347,,39.8650016785,5.10748910904,14.8503933294,26.525352478,14.0,0.850000023842
Oph.10,16h27m17.5s -24d28m55.0s,Isolated,1.26014620327,0.563149070408,0.449222414859,1.31334331173,0.00200000009499,0.000712839071639,0.00426081615181,2.88599991798,0.339554995298,0.563149070408,80.9152832031,14.0,1.14999997616
